

State,Post office abbreviation,FIPS code,FIPS code,Unit,1980,1981 ,1982,1983,1984,1985,1986,1987,1988,1989 ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Vermont ,VT,50000,50,"1,000",511,516,519,523,527,530,534,540,550,558,563,569,573,578,584,589,594,597,600,605,609,612,615,617,619,620,621,621
Virginia ,VA,51000,51,"1,000","5,347","5,444","5,493","5,565","5,644","5,715","5,812","5,932","6,037","6,120","6,189","6,301","6,414","6,510","6,593","6,671","6,751","6,829","6,901","7,000","7,079","7,190","7,282","7,371","7,464","7,558","7,640","7,712"
Washington ,WA,53000,53,"1,000","4,132","4,236","4,277","4,300","4,344","4,400","4,453","4,532","4,640","4,746","4,867","5,026","5,161","5,279","5,375","5,481","5,570","5,675","5,770","5,843","5,894","5,991","6,062","6,119","6,190","6,271","6,375","6,468"
West Virginia ,WV,54000,54,"1,000","1,950","1,954","1,950","1,945","1,928","1,907","1,882","1,858","1,830","1,807","1,793","1,799","1,806","1,818","1,820","1,824","1,823","1,819","1,816","1,812","1,808","1,799","1,800","1,803","1,805","1,806","1,809","1,812"
Wisconsin ,WI,55000,55,"1,000","4,706","4,726","4,729","4,721","4,736","4,748","4,756","4,778","4,822","4,857","4,892","4,964","5,025","5,085","5,134","5,185","5,230","5,266","5,298","5,333","5,364","5,409","5,445","5,475","5,510","5,540","5,573","5,602"
Wyoming ,WY,56000,56,"1,000",470,492,506,510,505,500,496,477,465,458,454,459,466,473,480,485,488,489,491,492,494,493,497,499,503,507,513,523



Table 12. Resident Population--States,,,,
,,,,
Back to data,,,,
,,,,
HEADNOTE,,,,
"[In thousands (226,546 represents 226,546,000).",,,,
"1980, 1990, and 2000 data as of April 1, data for other years as of  1.",,,,
"Insofar as possible, population shown for all years is",,,,
that of present area of state. See Appendix III.,,,,
FIPS=Federal Information Processing Standards],,,,
,,,,
FOOTNOTES,,,,
\1 Total population count has been revised since the 1980 census,,,,
publications. Numbers by State have not been corrected.,,,,
"\2 The April 1, 1990, census counts include corrections",,,,
"processed through August 1997, results of special censuses and",,,,
"test censuses, and do not include adjustments for census",,,,
coverage errors.,,,,
"\3 The April 1, 2000 Population Estimates base reflects modifications to the",,,,
Census 2000 population as documented in the Count Question Resolution program,,,,
and geographic program revisions. ,,,,
,,,,
"Source: U.S. Census Bureau,",,,,
"1990 Census of Population and Housing, Population and Housing Unit",,,,
Counts (CPH-2);,,,,
"Current Population Reports, P25-1106;",,,,
"""Table CO-EST2001-12-00 - Time Series of Intercensal State Populaton Estimates: April 1, 1990 to April 1, 2000"";",,,,
published 11 April 2002;,,,,
<http://www.census.gov/popest/archives/2000s/vintage_2001/CO-EST2001-12/CO-EST2001-12-00.html>; and,,,,
"""Table 1: Annual Estimates of the Population for the United States, Regions, and States, and for Puerto Rico: April 1, 2000 to  1, 2007 (NST-EST2007-01)""",,,,
published 27 December 2007; ,,,,
<http://www.census.gov/popest/states/NST-ann-est.html>.,,,,
,,,,
INTERNET LINK,,,,
http://www.census.gov/popest/estimates.php,,,,
